ex;perhidro;mes;Local;ano;hora;num;sp;CP;peso;Sexo;EstMat;Gordura;pesoevis;Categoria; anom.min ;anom.max;anom.cheia;anom.seca;hidro.min;hidro.max;dur_cheia;dur_seca;estomago;gr
1;seca;out/99;Po?o;1;CM;1;Acestrorhynchus falcirostris;29.0 ;214.00 ;F;6;0;202.0 ;estrito;-0.63;0.66;20.9;12.6;16.95;28.62;136;88;0;NA
1;seca;out/99;Po?o;1;CM;2;Acestrorhynchus falcirostris;27.5;214.00 ;F;6;3;192.0 ;estrito;-0.63;0.66;20.9;12.6;16.95;28.62;136;88;0;NA
1;seca;out/99;Po?o;1;CM;3;Acestrorhynchus falcirostris;24.5;151.00 ;M;6;2;140.0 ;estrito;-0.63;0.66;20.9;12.6;16.95;28.62;136;88;0;NA
1;seca;out/99;Po?o;1;CM;4;Acestrorhynchus falcirostris;22.0 ;104.00 ;M;6;3;93.0 ;estrito;-0.63;0.66;20.9;12.6;16.95;28.62;136;88;0;NA
1;seca;out/99;Po?o;1;CM;5;Acestrorhynchus falcirostris;21.1;72.00 ;I;NA;0;68.0 ;estrito;-0.63;0.66;20.9;12.6;16.95;28.62;136;88;0;NA
1;seca;out/99;Po?o;1;CM;6;Acestrorhynchus falcirostris;18.0 ;47.00 ;M;6;0;44.0 ;estrito;-0.63;0.66;20.9;12.6;16.95;28.62;136;88;0;NA
1;seca;out/99;Po?o;1;CM;41;Cichla monoculus;23.0 ;290.00 ;F;6;0;278.0 ;estrito;-0.63;0.66;20.9;12.6;16.95;28.62;136;88;NA;NA
1;seca;out/99;Po?o;1;D;86;Pellona castelnaeana;32.0 ;490.00 ;M;NA;2;456.0 ;estrito;-0.63;0.66;20.9;12.6;16.95;28.62;136;88;0;NA
1;seca;out/99;Po?o;1;D;87;Pellona castelnaeana;22.0 ;136.00 ;I;NA;1;131.0 ;estrito;-0.63;0.66;20.9;12.6;16.95;28.62;136;88;0;NA
1;seca;out/99;Po?o;1;D;128;Cichla monoculus;21.8;210.00 ;F;1;0;204.0 ;estrito;-0.63;0.66;20.9;12.6;16.95;28.62;136;88;NA;NA
